Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2008 (YR2008)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2009 (YR2009)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2010 (YR2010)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2011 (YR2011)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2012 (YR2012)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2013 (YR2013)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2014 (YR2014)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2006 (YR2006)","Plausible bound is 0.2-0.5"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2007 (YR2007)","Plausible bound is 0.3-0.5"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2008 (YR2008)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2009 (YR2009)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2010 (YR2010)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2011 (YR2011)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2012 (YR2012)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2013 (YR2013)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2014 (YR2014)","Plausible bound is 0.3-0.6"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2006 (YR2006)","Uncertainty bound is 16.1 - 16.7"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2007 (YR2007)","Uncertainty bound is 15.5 - 16.1"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2008 (YR2008)","Uncertainty bound is 15.1 - 15.7"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2009 (YR2009)","Uncertainty bound is 14.7 - 15.3"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2010 (YR2010)","Uncertainty bound is 14.3 - 14.9"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2011 (YR2011)","Uncertainty bound is 13.9 - 14.5"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2012 (YR2012)","Uncertainty bound is 13.3 - 14.2"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2013 (YR2013)","Uncertainty bound is 12.7 - 14"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2014 (YR2014)","Uncertainty bound is 11.9 - 13.9"
FootNote,"Argentina (ARG)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2015 (YR2015)","Uncertainty bound is 11.1 - 14"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2006 (YR2006)","Source: Ministry of Health  2006"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2007 (YR2007)","Source: Ministry of Health  2007"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2008 (YR2008)","Source: Ministry of Health  2008"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2009 (YR2009)","Source: Ministry of Health 2010"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2010 (YR2010)","Source: Ministry of Health 2010"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2011 (YR2011)","Source: Ministry of Health 2011"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2012 (YR2012)","Source: Ministry of Health 2012"
FootNote,"Argentina (ARG)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2013 (YR2013)","Source: Ministerio de Salud de la Nación. Estadísticas vitales. Información básica año 2013. 2013"
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2006 (YR2006)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2007 (YR2007)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2009 (YR2009)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2010 (YR2010)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2011 (YR2011)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2012 (YR2012)","Income based. Urban only."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2013 (YR2013)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2006 (YR2006)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2007 (YR2007)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2008 (YR2008)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2009 (YR2009)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2010 (YR2010)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2011 (YR2011)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2012 (YR2012)","Income based. Urban only."
FootNote,"Argentina (ARG)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2013 (YR2013)","Income based. Urban only."
FootNote,"Argentina (ARG)","Contraceptive prevalence, any methods (% of women ages 15-49) (SP.DYN.CONU.ZS)","2012 (YR2012)","Source: 2011 - 2012 MICS"
FootNote,"Argentina (ARG)","Contraceptive prevalence, any methods (% of women ages 15-49) (SP.DYN.CONU.ZS)","2013 (YR2013)","Source: Encuesta Nacional de Salud Sexual y Reproductiva 2013"
FootNote,"Argentina (ARG)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2006 (YR2006)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Argentina (ARG)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2007 (YR2007)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Argentina (ARG)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2008 (YR2008)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Argentina (ARG)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2009 (YR2009)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Argentina (ARG)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2010 (YR2010)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2006 (YR2006)","Population age 15+."
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2007 (YR2007)","Population age 15+."
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2008 (YR2008)","Population age 15+."
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2009 (YR2009)","Population age 15+."
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2011 (YR2011)","Individuals aged 15 years and over"
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2012 (YR2012)","Individuals aged 15 years and over"
FootNote,"Australia (AUS)","Internet users (per 100 people) (IT.NET.USER.P2)","2013 (YR2013)","Individuals aged 15 years and over"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2006 (YR2006)","Uncertainty bound is 5.5 - 5.7"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2007 (YR2007)","Uncertainty bound is 5.3 - 5.5"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2008 (YR2008)","Uncertainty bound is 5.1 - 5.3"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2009 (YR2009)","Uncertainty bound is 4.9 - 5.1"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2010 (YR2010)","Uncertainty bound is 4.7 - 4.9"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2011 (YR2011)","Uncertainty bound is 4.5 - 4.6"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2012 (YR2012)","Uncertainty bound is 4.2 - 4.4"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2013 (YR2013)","Uncertainty bound is 4 - 4.3"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2014 (YR2014)","Uncertainty bound is 3.7 - 4.1"
FootNote,"Australia (AUS)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2015 (YR2015)","Uncertainty bound is 3.5 - 4.1"
FootNote,"Australia (AUS)","Prevalence of underweight, weight for age (% of children under 5) (SH.STA.MALN.ZS)","2007 (YR2007)","Survey coverage: 2007. Age group: 2. - 5.00. Commonwealth Department of Health and Ageing (DoHA).The 2007 national children's nutrition and physical activity survey. Canberra, Australia: DoHA, 2010 (and additional analysis)."
FootNote,"Australia (AUS)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Income based."
FootNote,"Australia (AUS)","Income share held by lowest 20% (SI.DST.FRST.20)","2010 (YR2010)","Income based."
FootNote,"Australia (AUS)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","2011 (YR2011)","Derived using linearly extrapolated data"
FootNote,"Australia (AUS)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","2014 (YR2014)","Extrapolated assuming the same as previous year."
FootNote,"Australia (AUS)","Population, total (SP.POP.TOTL)","2014 (YR2014)","Preliminary."
FootNote,"Australia (AUS)","Population, total (SP.POP.TOTL)","2015 (YR2015)","Preliminary."
FootNote,"Australia (AUS)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2006 (YR2006)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Australia (AUS)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2007 (YR2007)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Australia (AUS)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2008 (YR2008)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Australia (AUS)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2009 (YR2009)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Australia (AUS)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2010 (YR2010)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2006 (YR2006)","Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data)."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2007 (YR2007)","Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data)."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2008 (YR2008)","Population age 10+ using internet in the last 3 months."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2009 (YR2009)","Population age 10+ using internet in the last 3 months."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2010 (YR2010)","In the last 3 months. Population 10+."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2011 (YR2011)","Population age 10+ using internet in the last 3 months."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2012 (YR2012)","In the last 3 months. Population 10+."
FootNote,"Brazil (BRA)","Internet users (per 100 people) (IT.NET.USER.P2)","2013 (YR2013)","In the last 3 months. Population 10+."
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2006 (YR2006)","Plausible bound is 0.4-0.6"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2007 (YR2007)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2008 (YR2008)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2009 (YR2009)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2010 (YR2010)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2011 (YR2011)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2012 (YR2012)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2013 (YR2013)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Prevalence of HIV, total (% of population ages 15-49) (SH.DYN.AIDS.ZS)","2014 (YR2014)","Plausible bound is 0.4-0.7"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2006 (YR2006)","Uncertainty bound is 19.3 - 21.7"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2007 (YR2007)","Uncertainty bound is 18.2 - 20.1"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2008 (YR2008)","Uncertainty bound is 17.4 - 18.8"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2009 (YR2009)","Uncertainty bound is 16.7 - 17.7"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2010 (YR2010)","Uncertainty bound is 16.2 - 17"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2011 (YR2011)","Uncertainty bound is 15.8 - 16.5"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2012 (YR2012)","Uncertainty bound is 15.6 - 16.4"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2013 (YR2013)","Uncertainty bound is 15.6 - 16.4"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2014 (YR2014)","Uncertainty bound is 15.6 - 16.8"
FootNote,"Brazil (BRA)","Mortality rate, under-5 (per 1,000 live births) (SH.DYN.MORT)","2015 (YR2015)","Uncertainty bound is 15.5 - 17.3"
FootNote,"Brazil (BRA)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2006 (YR2006)","Source: Ministry of Health  2006"
FootNote,"Brazil (BRA)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2011 (YR2011)","Source: Ministry of Health  2011"
FootNote,"Brazil (BRA)","Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","2012 (YR2012)","Source: MoH SINASC 2012"
FootNote,"Brazil (BRA)","Prevalence of underweight, weight for age (% of children under 5) (SH.STA.MALN.ZS)","2007 (YR2007)","Survey coverage: 2006-07 (NOV-MAY). Age group: 0. - 5.00. Centro Brasileiro de Análise e Planejamento [CEBRAP].Pesquisa nacional de demografia e saúde da criança e da mulher - PNDS 2006. Relatório da pesquisa. Sao Paulo: CEBRAP, 2008 (http://bvsms.saude.gov.br/bvs/pnds/index.php and additional analysis)."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2006 (YR2006)","Income based."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2007 (YR2007)","Income based."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Income based."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2009 (YR2009)","Income based."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2011 (YR2011)","Income based."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2012 (YR2012)","Income based."
FootNote,"Brazil (BRA)","Income share held by lowest 20% (SI.DST.FRST.20)","2013 (YR2013)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2006 (YR2006)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2007 (YR2007)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2008 (YR2008)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2009 (YR2009)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2011 (YR2011)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2012 (YR2012)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) (SI.POV.DDAY)","2013 (YR2013)","Income based."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2006 (YR2006)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2007 (YR2007)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2008 (YR2008)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2009 (YR2009)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2011 (YR2011)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2012 (YR2012)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2013 (YR2013)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Poverty headcount ratio at national poverty lines (% of population) (SI.POV.NAHC)","2014 (YR2014)","Source : Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Brazil (BRA)","Contraceptive prevalence, any methods (% of women ages 15-49) (SP.DYN.CONU.ZS)","2006 (YR2006)","Source: Brazil 2006 Pesquisa Nacional por Amostra de Domicílios"
FootNote,"Brazil (BRA)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2006 (YR2006)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
FootNote,"Brazil (BRA)","Net barter terms of trade index (2000 = 100) (TT.PRI.MRCH.XD.WD)","2007 (YR2007)","Source: UNCTAD Handbook of Statistics and data files, February 2012 update."
